id,code,name,industry,concept,sme,gem,st,hs300,sh50,zz500,pe,outstanding,totals,totalAssets,liquidAssets,timeToMarket,pb,rev,profit,holders
3270,300413,快乐购,百货,,False,False,False,0.0,False,False,350.07,2.06,4.01,229676.95,201505.16,20150121,8.21,-16.09,-16.06,46511.0
3271,300618,寒锐钴业,小金属,,False,False,False,0.0,False,False,64.97,0.3,1.2,217386.63,186961.77,20170306,26.21,97.16,575.04,20600.0
3272,600701,工大高新,综合类,,False,False,False,0.0,False,False,26.59,7.76,10.35,951440.0,465946.44,19960528,1.76,223.0,1539.04,58008.0
3273,002453,天马精化,化工原料,,False,False,False,0.0,False,False,595.45,5.39,5.71,202554.27,97869.46,20100720,4.48,29.57,-56.09,35912.0
3274,601231,环旭电子,元器件,,False,False,False,0.0,False,True,24.83,21.76,21.76,1666218.38,1447613.5,20120220,3.48,22.48,62.26,31346.0
3275,300611,美力科技,机械基件,,False,False,False,0.0,False,False,43.73,0.45,1.79,77608.61,42237.14,20170220,2.9,16.05,1.5,17449.0
3276,300668,杰恩设计,装修装饰,,False,False,False,0.0,False,False,56.43,0.11,0.42,41349.9,31173.94,20170619,9.0,0.0,0.0,7224.0
3277,600409,三友化工,化工原料,,False,False,False,0.0,False,True,9.76,18.5,20.64,2361229.5,687980.75,20030618,1.99,32.61,156.71,65499.0
3278,002560,通达股份,电气设备,,False,False,False,0.0,False,False,223.08,2.75,4.29,251777.22,139461.59,20110303,2.1,0.47,-84.65,37289.0
3279,300220,金运激光,元器件,,False,False,False,0.0,False,False,79.86,1.25,1.26,40720.69,22521.49,20110525,5.03,11.42,90.85,15387.0
3280,300469,信息发展,软件服务,,False,False,False,0.0,False,False,902.15,0.29,0.68,116702.22,85441.96,20150611,4.4,15.63,26.99,13401.0
3281,603789,星光农机,农用机械,,False,False,False,0.0,False,False,48.3,1.04,2.62,160932.72,95464.43,20150427,2.93,18.93,-4.31,25628.0
3282,600560,金自天正,电气设备,,False,False,False,0.0,False,False,97.28,2.24,2.24,170144.55,145234.36,20020919,2.89,7.74,12.35,21662.0
3283,300241,瑞丰光电,半导体,,False,False,False,0.0,False,False,37.1,1.83,2.76,236636.27,131159.13,20110712,3.82,44.39,80.37,10651.0
3284,603108,润达医疗,医药商业,,False,False,False,0.0,False,False,33.74,2.22,5.8,653180.69,355795.22,20150527,3.37,102.0,97.67,14968.0
3285,300389,艾比森,半导体,,False,False,False,0.0,False,False,56.14,1.4,3.2,181074.52,123636.3,20140801,4.17,10.98,-42.46,14056.0
3286,002920,德赛西威,汽车配件,,False,False,False,0.0,False,False,31.82,1.0,5.5,442787.56,347101.78,20171226,10.17,0.0,0.0,186251.0
3287,000428,华天酒店,酒店餐饮,,False,False,False,0.0,False,False,0.0,7.19,10.19,856660.19,299521.25,19960808,1.32,-5.65,-20.2,39265.0
3288,600749,西藏旅游,旅游景点,,False,False,False,0.0,False,False,0.0,1.89,1.89,138206.92,12737.12,19961015,4.97,11.44,40.31,18922.0
3289,002262,恩华药业,化学制药,,False,False,False,0.0,False,False,28.25,8.62,10.09,331985.09,231050.84,20080723,5.4,11.31,35.58,16177.0
3290,002478,常宝股份,钢加工,,False,False,False,0.0,False,False,37.36,6.09,9.87,402601.56,286257.09,20100921,1.43,57.4,11.93,31522.0
3291,002863,今飞凯达,汽车配件,,False,False,False,0.0,False,False,57.7,0.56,2.22,361379.13,189711.97,20170418,3.48,0.0,0.0,29141.0
3292,603557,起步股份,服饰,,False,False,False,0.0,False,False,37.86,0.47,4.7,171040.88,128879.05,20170818,5.27,0.0,0.0,29401.0
3293,300370,安控科技,电器仪表,,False,False,False,0.0,False,False,117.21,6.7,9.58,368255.25,203184.02,20140123,2.57,149.61,147.0,24226.0
3294,002194,武汉凡谷,通信设备,,False,False,False,0.0,False,False,0.0,5.3,5.65,225832.41,162391.23,20071207,2.67,-9.95,-485.03,57713.0
3295,300729,乐歌股份,家居用品,,False,False,False,0.0,False,False,36.25,0.22,0.86,68235.78,35808.98,20171201,4.21,0.0,0.0,44879.0
3296,300340,科恒股份,元器件,,False,False,False,0.0,False,False,28.1,0.85,1.18,332343.81,223414.02,20120726,3.5,216.67,2218.74,13926.0
3297,603970,中农立华,其他商业,,False,False,False,0.0,False,False,30.15,0.33,1.33,239227.95,214653.55,20171116,5.79,0.0,0.0,35402.0
3298,603881,数据港,电信运营,,False,False,False,0.0,False,False,60.48,1.28,2.11,149257.09,47910.32,20170208,7.68,25.86,44.35,30724.0
3299,300731,科创新源,橡胶,,False,False,False,0.0,False,False,34.88,0.22,0.87,26369.38,23502.03,20171208,7.35,0.0,0.0,45956.0
3300,603619,中曼石油,石油开采,,False,False,False,0.0,False,False,28.88,0.4,4.0,400210.31,244724.47,20171117,5.25,0.0,0.0,38847.0
3301,300667,必创科技,电器仪表,,False,False,False,0.0,False,False,168.34,0.17,0.68,37714.45,32652.55,20170619,6.5,0.0,0.0,9529.0
3302,300046,台基股份,半导体,,False,False,False,0.0,False,False,29.02,1.42,1.42,106434.6,54508.53,20100120,2.46,52.43,89.94,14168.0
3303,603501,韦尔股份,半导体,,False,False,False,0.0,False,False,101.34,0.42,4.56,204200.45,169034.19,20170504,10.89,0.0,0.0,22138.0
3304,300648,星云股份,电器仪表,,False,False,False,0.0,False,False,57.58,0.17,0.68,63664.26,50674.81,20170425,6.74,0.0,0.0,5455.0
3305,600520,文一科技,机械基件,,False,False,False,0.0,False,False,0.0,1.58,1.58,84744.09,38445.15,20020108,5.94,46.61,27.3,10627.0
3306,300706,阿石创,元器件,,False,False,False,0.0,False,False,89.69,0.2,0.78,54618.32,38031.87,20170926,10.34,0.0,0.0,39107.0
3307,002836,新宏泽,广告包装,,False,False,False,0.0,False,False,66.24,0.56,1.6,50964.34,26504.78,20161229,6.21,-11.2,-4.5,23001.0
3308,300732,设研院,建筑施工,,False,False,False,0.0,False,False,32.3,0.18,0.72,147598.91,108083.01,20171212,5.3,0.0,0.0,36125.0
3309,600191,华资实业,食品,,False,False,False,0.0,False,False,73.01,4.85,4.85,261745.25,24064.46,19981210,1.49,373.98,114.1,40166.0
3310,002399,海普瑞,化学制药,,False,False,False,0.0,False,False,293.1,12.47,12.47,1312358.5,647713.25,20100506,2.73,8.84,-82.7,24719.0
3311,300675,建科院,建筑施工,,False,False,False,0.0,False,False,961.52,0.37,1.47,64670.91,40249.65,20170719,10.82,0.0,0.0,30936.0
3312,002332,仙琚制药,生物制药,,False,False,False,0.0,False,True,34.81,7.21,9.16,404090.81,250520.3,20100112,2.84,9.16,40.09,29000.0
3313,002016,世荣兆业,区域地产,,False,False,False,0.0,False,False,17.04,6.46,8.09,748427.63,676798.44,20040708,4.78,37.32,324.75,25538.0
3314,002725,跃岭股份,汽车配件,,False,False,False,0.0,False,False,78.72,0.68,1.6,112459.47,54748.98,20140129,2.34,25.22,-44.94,12465.0
3315,300733,西菱动力,汽车配件,,False,False,False,0.0,False,False,37.33,0.4,1.6,102448.71,0.0,20180116,4.29,0.0,0.0,77780.0
3316,300231,银信科技,软件服务,,False,False,False,0.0,False,False,26.79,2.67,3.43,127882.36,85307.05,20110615,4.6,-12.09,1.2,37016.0
3317,300384,三联虹普,纺织机械,,False,False,False,0.0,False,False,37.01,0.71,1.67,202249.45,133055.69,20140801,2.3,19.83,6.84,12561.0
3318,002049,紫光国芯,元器件,,False,False,False,0.0,False,True,74.34,6.03,6.07,488134.59,251718.59,20050606,6.25,31.31,-22.91,63766.0
3319,603056,德邦股份,仓储物流,,False,False,False,0.0,False,False,38.01,1.0,9.6,608186.88,362515.31,20180116,5.63,0.0,0.0,88497.0
3320,002546,新联电子,电气设备,,False,False,False,0.0,False,False,34.77,7.82,8.34,326750.72,276654.22,20110211,1.26,-12.2,16.81,51275.0
3321,603338,浙江鼎力,专用机械,,False,False,False,0.0,False,False,39.06,0.46,1.77,176783.7,113657.5,20150325,8.47,74.15,70.28,8361.0
